country,state,latitude,longitude,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,local_time
Afghanistan,Afghanistan,25.2333938,55.1743890250915,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Aruba,Aruba,12.51756625,-69.9818641521056,2,190.26,0.0,0.13,70.81,0.2,2.04,9.42,0.0,2024-12-14 20:32:49
Aruba,Aruba,28.4122393,82.473837,2,353.81,0.34,1.61,82.97,0.81,14.49,24.32,3.29,2024-12-15 06:17:49
Cook Islands,Lower Cook Islands,-21.2349911,-159.778723664784,2,220.3,0.0,0.06,27.18,0.21,8.07,37.65,0.01,2024-12-14 14:32:49
Cook Islands,Northern Cook Islands,-10.8934125,-165.872536635878,1,210.29,0.0,0.02,21.82,0.02,0.5,1.0,0.0,2024-12-14 14:32:49
United Kingdom,United Kingdom,25.22331675,55.1594146482608,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Zambia,Zambia,-10.9432722,14.1443449,1,303.75,0.0,0.58,14.66,0.35,3.17,3.89,0.03,2024-12-15 01:32:49
Zambia,Zambia,-10.9968443,40.342807,1,253.68,0.06,0.21,23.25,0.06,1.62,3.0,0.15,2024-12-15 02:32:49
Zambia,Zambia,3.0138203,30.9345553,2,467.3,0.18,1.86,28.61,0.95,24.32,40.76,3.83,2024-12-15 03:32:49
Zambia,Zambia,-5.7883832,26.9066433,1,195.27,0.06,0.32,1.68,0.08,1.7,2.48,0.28,2024-12-15 02:32:49
Zambia,Zambia,-0.0897188,30.2299449,1,413.9,0.47,4.03,35.41,0.24,5.06,11.72,32.93,2024-12-15 03:32:49
Finland,Finland,40.3843304,-75.4203885,2,263.69,0.0,4.11,79.39,2.47,1.38,2.15,1.06,2024-12-14 19:32:49
Finland,Finland,47.4146362,-91.2490485,1,253.68,0.0,1.52,56.51,0.05,0.5,0.51,0.5,2024-12-14 18:32:49
Finland,Finland,57.78571765,16.6064638685753,1,270.37,0.0,2.25,50.07,0.69,2.88,3.26,1.93,2024-12-15 01:32:49
Finland,Finland,60.8927306,11.5652616,1,260.35,0.0,5.91,43.63,3.55,6.37,7.11,4.43,2024-12-15 01:32:49
Finland,Finland,59.7407546,12.710647323967,2,247.0,0.0,1.01,62.94,0.75,1.47,2.06,0.28,2024-12-15 01:32:49
Niger,Niger,25.21715185,55.1706537429541,4,453.95,8.83,58.95,37.91,30.04,33.18,123.53,1.09,2024-12-15 04:32:49
Niger,Gobirkoy Béri,13.1784,2.5156,4,280.38,0.0,1.03,61.51,0.27,45.48,134.68,1.81,2024-12-15 01:32:49
Niger,Ourno,14.2990457,6.4505505,5,247.0,0.0,0.91,52.93,0.17,93.61,312.42,1.57,2024-12-15 01:32:49
Christmas Island,Christmas Island,-10.49124145,105.617351489796,1,247.0,0.0,0.02,33.98,0.2,4.18,10.53,0.0,2024-12-15 07:32:49
Christmas Island,Christmas Island,1.87096015,-157.43515847893,1,216.96,0.0,0.02,22.35,0.17,1.83,8.18,0.0,2024-12-15 14:32:49
Christmas Island,Shire of Christmas Island,-10.49150645,105.616288071689,1,247.0,0.0,0.02,33.98,0.2,4.18,10.53,0.0,2024-12-15 07:32:49
Christmas Island,Christmas Island,-39.687566,143.831796045532,1,208.62,0.0,0.01,30.04,0.31,2.24,9.35,0.0,2024-12-15 11:32:49
Christmas Island,Christmas Island,45.9616517,-60.7600595,2,253.68,0.0,1.52,67.23,0.41,0.54,2.29,0.08,2024-12-14 20:32:49
Tokelau,Tokelau,-9.10689725,-171.78645539087,1,216.96,0.0,0.04,35.76,0.01,0.5,0.73,0.0,2024-12-15 13:32:49
Tokelau,Tokelau,-6.2854421,176.3152612,1,205.28,0.0,0.0,21.28,0.01,0.5,0.82,0.0,2024-12-15 12:32:49
Azerbaijan,Azerbaijan,25.23108035,55.1702726661493,4,554.09,16.54,59.63,44.7,35.29,34.86,128.99,1.12,2024-12-15 04:32:49
Réunion,La Réunion,-21.13073795,55.5364801129923,1,287.06,0.29,0.68,31.83,0.56,6.82,12.82,4.24,2024-12-15 04:32:49
Réunion,Reunion,13.7760671,-61.0445559,1,216.96,0.0,4.46,57.94,3.93,3.02,4.49,0.1,2024-12-14 20:32:49
Réunion,Reunion,51.3027308,-114.0440214,2,240.33,0.0,1.95,80.11,0.06,0.5,1.47,1.62,2024-12-14 17:32:49
Réunion,Reunión,17.9563269,-66.1416886,2,193.6,0.0,0.2,64.37,0.14,1.37,5.19,0.59,2024-12-14 20:32:49
Réunion,Reunión,-36.9997681,-72.5617683,1,220.3,0.0,0.71,22.53,0.05,1.16,1.53,0.49,2024-12-14 21:32:49
